date,spot_open,close,iv_realized,em,short_put,long_put,short_call,long_call,net_credit,max_risk,settlement_value,pnl
2026-05-11,736.45,739.3,0.10408498210582662,2.0853476204435064,734.0,733.0,739.0,740.0,0.15419595268412678,84.58040473158732,0.2999999999999545,-14.580404731582775
2026-05-12,736.89,738.18,0.10209153316731838,2.0466308266701425,734.0,733.0,739.0,740.0,0.15477336403202457,84.52266359679754,0.0,15.477336403202457
2026-05-13,738.47,742.31,0.0986627987587822,1.9821358216466094,736.0,735.0,741.0,742.0,0.134221212690818,86.5778787309182,1.0,-86.5778787309182
2026-05-14,743.65,748.17,0.0975143073312209,1.9728044771926618,741.0,740.0,746.0,747.0,0.13392738001152082,86.60726199884792,1.0,-86.60726199884792
2026-05-15,741.79,739.17,0.09903630628077403,1.9985845739887291,739.0,738.0,744.0,745.0,0.1421728140045957,85.78271859954043,0.0,14.21728140045957
2026-05-18,739.83,738.65,0.10725599854445594,2.158741550835578,737.0,736.0,743.0,744.0,0.10883112915826842,89.11688708417316,0.0,10.883112915826842
2026-05-19,734.78,733.73,0.10671079690481783,2.133107841854088,732.0,731.0,737.0,739.0,0.21099147506337346,178.90085249366265,0.0,21.099147506337346
2026-05-20,735.71,741.25,0.10683445678670477,2.1382827265865676,733.0,732.0,738.0,739.0,0.16690506675676886,83.30949332432311,1.0,-83.30949332432311
2026-05-21,738.64,742.72,0.1069557040197114,2.1492349569503557,736.0,735.0,741.0,742.0,0.16776106180779493,83.2238938192205,1.0,-83.2238938192205
2026-05-22,746.24,745.64,0.1046238966568379,2.1240099057513597,744.0,743.0,749.0,750.0,0.16418850464840418,83.58114953515958,0.0,16.418850464840418
2026-05-26,750.01,750.59,0.10289933761551269,2.0995525806114985,747.0,746.0,753.0,754.0,0.09869962736011217,90.13003726398878,0.0,9.869962736011217
2026-05-27,750.88,750.46,0.10407533506603298,2.1260108520247716,748.0,747.0,754.0,755.0,0.10315953425363844,89.68404657463616,0.0,10.315953425363844
2026-05-28,750.25,754.6,0.10099598729662236,2.0613761430741815,748.0,747.0,753.0,754.0,0.15189318083619696,84.8106819163803,1.0,-84.8106819163803
2026-05-29,755.9,756.48,0.1009066994352186,2.0750638701113515,753.0,752.0,758.0,760.0,0.20492817371741623,179.50718262825836,0.0,20.492817371741623
2026-06-01,755.36,758.54,0.09749290241234922,2.003429688477461,753.0,752.0,758.0,759.0,0.13894779052303718,86.10522094769628,0.5399999999999636,-40.105220947692644
2026-06-02,757.03,759.57,0.09749178711402293,2.007836034258758,755.0,754.0,760.0,761.0,0.14861627682221723,85.13837231777828,0.0,14.861627682221723
2026-06-03,758.15,754.24,0.09482621171326812,1.9558280151008498,756.0,755.0,761.0,762.0,0.1342938851352855,86.57061148647145,1.0,-86.57061148647145
2026-06-04,752.1,757.09,0.09886831679661912,2.022925325877644,750.0,749.0,755.0,756.0,0.14876235351305667,85.12376464869433,1.0,-85.12376464869433
2026-06-05,752.31,737.55,0.08898512319358155,1.8212156058412954,750.0,749.0,755.0,755.0,0.061715006009468,93.8284993990532,1.0,-93.8284993990532
2026-06-08,743.36,739.22,0.13215011810258548,2.672476322200355,740.0,739.0,747.0,748.0,0.13710400754463592,86.28959924553641,0.7799999999999727,-64.28959924553368
2026-06-09,743.63,737.05,0.12913379270556577,2.612425600746034,740.0,739.0,747.0,748.0,0.1287052583102266,87.12947416897734,1.0,-87.12947416897734
2026-06-10,733.39,725.43,0.1292999323937208,2.579766531274828,730.0,729.0,737.0,738.0,0.12355099870040931,87.64490012995907,1.0,-87.64490012995907
2026-06-11,728.76,737.76,0.1408622149256953,2.792712073256895,725.0,724.0,732.0,734.0,0.20326822757558105,179.6731772424419,2.0,-179.6731772424419
2026-06-12,740.71,741.75,0.15288244188569067,3.080725058208868,737.0,735.0,745.0,746.0,0.19227626592473612,180.7723734075264,0.0,19.227626592473612
2026-06-15,751.85,754.83,0.1513757966704463,3.0962410786336676,748.0,746.0,756.0,757.0,0.18972917050706783,181.02708294929323,0.0,18.972917050706783
2026-06-16,754.55,750.33,0.15742466114072753,3.231527923365442,751.0,749.0,759.0,760.0,0.2275643396543252,177.2435660345675,0.6699999999999591,-44.243566034563386
2026-06-17,751.29,740.96,0.1593059974828909,3.2560184479768575,747.0,746.0,755.0,757.0,0.22735155108563987,177.264844891436,1.0,-77.26484489143601
2026-06-18,747.76,746.74,0.16425576442568623,3.3414115678481244,744.0,742.0,752.0,754.0,0.282361272418008,171.7638727581992,0.0,28.2361272418008
2026-06-22,747.7,744.39,0.16257117561918868,3.306877059406465,744.0,742.0,752.0,753.0,0.23403375901956736,176.59662409804326,0.0,23.403375901956736
2026-06-23,733.81,733.58,0.16291673332029122,3.2523437524320653,730.0,728.0,738.0,740.0,0.261235809866907,173.87641901330932,0.0,26.123580986690698
2026-06-24,735.17,733.24,0.17030230140235758,3.406084483085261,731.0,729.0,739.0,741.0,0.29688132037618686,170.3118679623813,0.0,29.688132037618686
2026-06-25,738.91,734.3,0.168043719663375,3.378010168938907,735.0,733.0,743.0,745.0,0.289327467376971,171.0672532623029,0.7000000000000455,-41.067253262307446
2026-06-26,728.945,728.99,0.168268883949667,3.336919255577412,725.0,723.0,733.0,735.0,0.2797209639394076,172.02790360605923,0.0,27.97209639394076
2026-06-29,736.525,741.0,0.16773571353565345,3.3609353271798796,732.0,731.0,741.0,742.0,0.1383227724891043,86.16772275108957,0.0,13.83227724891043
2026-06-30,741.29,746.77,0.179169561530852,3.6132623419623413,737.0,735.0,746.0,748.0,0.26668344209767625,173.3316557902324,0.7699999999999818,-50.331655790230556
2026-07-01,745.0,745.76,0.18144676630032677,3.677499546566429,740.0,739.0,750.0,751.0,0.1359729766063893,86.40270233936107,0.0,13.59729766063893
2026-07-02,747.4,744.78,0.18127800099949984,3.6859150299449337,743.0,741.0,752.0,754.0,0.2810664356068635,171.89335643931366,0.0,28.10664356068635
2026-07-06,748.74,751.28,0.1798459797827017,3.663354032964593,744.0,742.0,753.0,755.0,0.27809315903489207,172.19068409651078,0.0,27.809315903489207
2026-07-07,750.22,747.71,0.1822736516718495,3.7201431735077595,746.0,744.0,755.0,757.0,0.2899974456097638,171.00025543902362,0.0,28.99974456097638
2026-07-08,743.16,745.4,0.15611340278557273,3.1562372315312412,739.0,738.0,747.0,749.0,0.20356512677446048,179.64348732255394,0.0,20.356512677446048
2026-07-09,747.35,751.71,0.1565525392525239,3.1829607073717106,743.0,742.0,751.0,753.0,0.21680490084823845,178.31950991517616,0.7100000000000364,-49.31950991517979
2026-07-10,752.05,754.95,0.15850950512862277,3.2430164236049754,748.0,746.0,756.0,758.0,0.2582983299900228,174.1701670009977,0.0,25.829832999002278
